item_id,item_type,human_readable_name,machine_readable_field,source,evidence_summary,scientific_rationale,normalized_rule,unit,transformation,missing_value_rule,model_scope,computational_use,downstream_use,implementation_status,evaluation_status
REP005,representation,Polarity summary,tpsa,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,Polarity summary,Compute tpsa as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
REP006,representation,Hydrophobicity summary,logp,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,Hydrophobicity summary,Compute logp as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
REP007,representation,H-bond acceptor count,hba,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,H-bond acceptor count,Compute hba as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
REP008,representation,H-bond donor count,hbd,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,H-bond donor count,Compute hbd as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
REP009,representation,Flexibility summary,rotatable_bonds,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,Flexibility summary,Compute rotatable_bonds as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
REP010,representation,Saturation summary,fraction_csp3,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,Saturation summary,Compute fraction_csp3 as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
REP012,representation,Hetero richness summary,hetero_atom_count,descriptor feature manifest,rdkit_dense descriptor defined in the frozen feature manifest.,Hetero richness summary,Compute hetero_atom_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,D06; F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_D06_and_F06,dense-only five-fold ablation completed
REP013,representation,Existing PI role-level sparse expert feature,donor_count,descriptor feature manifest,pi_sparse descriptor defined in the frozen feature manifest.,Existing PI role-level sparse expert feature,Compute donor_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,descriptor-ablation study,molecular representation,model input or controlled descriptor ablation,not_used_in_frozen_D06_or_F06,PI-core-only and dense-plus-PI-core five-fold ablations completed
REP014,representation,Existing PI role-level sparse expert feature,initiator_count,descriptor feature manifest,pi_sparse descriptor defined in the frozen feature manifest.,Existing PI role-level sparse expert feature,Compute initiator_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,descriptor-ablation study,molecular representation,model input or controlled descriptor ablation,not_used_in_frozen_D06_or_F06,PI-core-only and dense-plus-PI-core five-fold ablations completed
REP015,representation,Existing PI role-level sparse expert feature,bridge_count,descriptor feature manifest,pi_sparse descriptor defined in the frozen feature manifest.,Existing PI role-level sparse expert feature,Compute bridge_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,descriptor-ablation study,molecular representation,model input or controlled descriptor ablation,not_used_in_frozen_D06_or_F06,PI-core-only and dense-plus-PI-core five-fold ablations completed
REP016,representation,Existing PI role-level sparse expert feature,has_donor,descriptor feature manifest,pi_sparse descriptor defined in the frozen feature manifest.,Existing PI role-level sparse expert feature,Compute has_donor as a binary molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,descriptor-ablation study,molecular representation,model input or controlled descriptor ablation,not_used_in_frozen_D06_or_F06,PI-core-only and dense-plus-PI-core five-fold ablations completed
REP017,representation,Existing PI role-level sparse expert feature,has_acceptor_or_initiator,descriptor feature manifest,pi_sparse descriptor defined in the frozen feature manifest.,Existing PI role-level sparse expert feature,Compute has_acceptor_or_initiator as a binary molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,descriptor-ablation study,molecular representation,model input or controlled descriptor ablation,not_used_in_frozen_D06_or_F06,PI-core-only and dense-plus-PI-core five-fold ablations completed
REP018,representation,Existing PI role-level sparse expert feature,has_conjugated_bridge,descriptor feature manifest,pi_sparse descriptor defined in the frozen feature manifest.,Existing PI role-level sparse expert feature,Compute has_conjugated_bridge as a binary molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,descriptor-ablation study,molecular representation,model input or controlled descriptor ablation,not_used_in_frozen_D06_or_F06,PI-core-only and dense-plus-PI-core five-fold ablations completed
REP019,representation,Existing PI role-level dense-ish structural summary,max_conjugated_subgraph_size,descriptor feature manifest,pi_sparse descriptor defined in the frozen feature manifest.,Existing PI role-level dense-ish structural summary,Compute max_conjugated_subgraph_size as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,descriptor-ablation study,molecular representation,model input or controlled descriptor ablation,not_used_in_frozen_D06_or_F06,PI-core-only and dense-plus-PI-core five-fold ablations completed
REP020,representation,Aggregate count of strong donor families,strong_donor_family_count,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Aggregate count of strong donor families,Compute strong_donor_family_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP021,representation,Aggregate count of broader donor families,general_donor_family_count,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Aggregate count of broader donor families,Compute general_donor_family_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP022,representation,Aggregate count of non-carbonyl acceptor families,acceptor_family_count,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Aggregate count of non-carbonyl acceptor families,Compute acceptor_family_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP023,representation,Aggregate count of carbonyl-centered acceptor families,carbonyl_acceptor_count,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Aggregate count of carbonyl-centered acceptor families,Compute carbonyl_acceptor_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP024,representation,Aggregate count of broadened initiator families,initiator_family_count,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Aggregate count of broadened initiator families,Compute initiator_family_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP025,representation,Broadened bridge family count,simple_vinylene_bridge_count,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Broadened bridge family count,Compute simple_vinylene_bridge_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP026,representation,Broadened bridge family count,alkynyl_bridge_count,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Broadened bridge family count,Compute alkynyl_bridge_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP027,representation,Broadened bridge family count,heteroaryl_bridge_count,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Broadened bridge family count,Compute heteroaryl_bridge_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP028,representation,Broadened bridge family count,carbonyl_bridge_count,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Broadened bridge family count,Compute carbonyl_bridge_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP029,representation,Global conjugation connectivity summary,conjugated_path_length,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Global conjugation connectivity summary,Compute conjugated_path_length as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP030,representation,Global conjugation density summary,conjugated_atom_fraction,descriptor feature manifest,pi_broadened descriptor defined in the frozen feature manifest.,Global conjugation density summary,Compute conjugated_atom_fraction as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,F06,molecular representation,model input or controlled descriptor ablation,implemented_in_frozen_F06,family-only five-fold ablation completed; dense-plus-family five-fold ablation running
REP031,representation,Sparse high-precision expert feature; keep alongside broader acceptor families,acceptor_count,descriptor feature manifest,pi_sparse descriptor defined in the frozen feature manifest.,Sparse high-precision expert feature; keep alongside broader acceptor families,Compute acceptor_count as a continuous molecular descriptor.,descriptor-defined,model-configured,feature-pipeline validation,descriptor-ablation study,molecular representation,model input or controlled descriptor ablation,not_used_in_frozen_D06_or_F06,PI-core-only and dense-plus-PI-core five-fold ablations completed
