record_id,evidence_class,model_or_experiment,task_or_scope,representation,evaluation_design,sample_count,r2,rmse,mae,bias,spearman,delta_rmse_vs_reference,status,interpretation,claim_limit,provenance_asset
ME022,strict_clean_retrain_outer_test,F06_strict_clean,toxicity,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20917,0.866355802118988,0.4296222823626919,0.2837568003612596,-0.0406293541293168,,0.003415069392515624,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME023,strict_clean_retrain_outer_test,F06_strict_clean,solubility,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,13912,0.9668797758489744,0.1923004252082037,0.1055305059427845,0.0274703773897628,,-0.09318457893865142,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME024,strict_clean_retrain_outer_test,F06_strict_clean,synthetic_accessibility,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20917,0.8393897941745684,0.3394645070397827,0.1566986829185976,0.0353600971482894,,0.006280506138419795,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME025,strict_clean_retrain_outer_test,F06_strict_clean,isc_energy,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,14293,0.8339746282647427,0.4082269923513218,0.2688354563074374,0.020407537990171,,-0.003928850556377261,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME026,strict_clean_retrain_outer_test,F06_strict_clean,macro_avg,same architecture and descriptor scope as the corresponding frozen model,scaffold-disjoint outer test with strict-clean label-cell masks,20917,0.8470409629491956,0.3887492323972996,0.2100988570501945,-0.0045334312047407,,-0.015100626177270815,outer_test_completed; replacement_decision_pending,"Strict-clean re-evaluation is complete, but it has not replaced the frozen deployment models.",Replacement requires strict-clean external sigma_max validation and candidate-ranking stability checks.,original-versus-strict-clean six-task comparison
ME027,independent_sigma_max_evaluation,literature_context_calibrated_v1,sigma_max,external optical calibration/evaluation variant,leave-one-out evaluation on independent optical records,37,0.885986985668547,225.6200172729832,154.30677239629438,-54.229968561220176,0.8992946491999337,,completed; deployable=False,Independent evidence is strongest for sigma_max and must not be generalized to all six tasks.,External optical evaluation is not six-task external validation.,external sigma_max leave-one-out metrics
ME028,independent_sigma_max_evaluation,D06_literature_calibrated_v1_plus_scaffold,sigma_max,external optical calibration/evaluation variant,leave-one-out evaluation on independent optical records,37,0.6139407755529201,415.1713546774264,251.27414857481995,-11.173459080898,0.738782527526231,,completed; deployable=True,Independent evidence is strongest for sigma_max and must not be generalized to all six tasks.,External optical evaluation is not six-task external validation.,external sigma_max leave-one-out metrics
ME029,independent_sigma_max_evaluation,D06_literature_calibrated_v1_predonly,sigma_max,external optical calibration/evaluation variant,leave-one-out evaluation on independent optical records,37,0.6420586860890296,399.7664357993577,259.64072169309884,-111.09170769892066,0.4879378824290704,,completed; deployable=True,Independent evidence is strongest for sigma_max and must not be generalized to all six tasks.,External optical evaluation is not six-task external validation.,external sigma_max leave-one-out metrics
ME030,independent_sigma_max_evaluation,D06_literature_calibrated_v1,sigma_max,external optical calibration/evaluation variant,leave-one-out evaluation on independent optical records,37,0.2472983344174377,579.7114158389081,284.6431503503716,33.59850006638296,0.7609507452167645,,completed; deployable=True,Independent evidence is strongest for sigma_max and must not be generalized to all six tasks.,External optical evaluation is not six-task external validation.,external sigma_max leave-one-out metrics
ME031,independent_sigma_max_evaluation,F06_raw,sigma_max,external optical calibration/evaluation variant,leave-one-out evaluation on independent optical records,37,-4.603513879700286,1581.7237662557334,514.1226695565095,229.09817240074847,0.437937166567872,,completed; deployable=True,Independent evidence is strongest for sigma_max and must not be generalized to all six tasks.,External optical evaluation is not six-task external validation.,external sigma_max leave-one-out metrics
ME032,independent_sigma_max_evaluation,D06_raw,sigma_max,external optical calibration/evaluation variant,leave-one-out evaluation on independent optical records,37,-5.068463059363325,1646.037672075806,617.9254512957457,419.7221360636768,0.6071132187314761,,completed; deployable=True,Independent evidence is strongest for sigma_max and must not be generalized to all six tasks.,External optical evaluation is not six-task external validation.,external sigma_max leave-one-out metrics
ME033,model_replacement_gate,strict_clean_replacement_decision,external validation and top-k stability,D06/F06 strict-clean checkpoints,predefined replacement gate,,,,,,,,not_promoted; 4 checks pending,The original frozen D06/F06 models remain the deployment backbone at this snapshot.,Do not describe strict-clean checkpoints as the replacement final models before all gates close.,strict-clean external-validation and top-k-stability status
ME034,descriptor_ablation,graph_only,six-task macro average,Chemprop molecular graph only.,five-fold strict-clean descriptor ablation,"folds=0,1,2,3,4",,0.2885552997753688,0.1880388883208651,0.0171165204521892,,0.0,completed,Completed rows are comparative representation evidence; the running row is reported without a result.,Do not select the best representation until all scheduled folds are complete.,strict-clean descriptor-ablation summary
ME035,descriptor_ablation,full_descriptor,six-task macro average,Dense RDKit + PI-core + PI-family descriptors.,five-fold strict-clean descriptor ablation,"folds=0,1,2,3,4",,0.2875231411997293,0.1874041429956574,0.0230199584334175,,-0.0010321585756394858,completed,Completed rows are comparative representation evidence; the running row is reported without a result.,Do not select the best representation until all scheduled folds are complete.,strict-clean descriptor-ablation summary
ME036,descriptor_ablation,dense_only,six-task macro average,Dense RDKit descriptors only.,five-fold strict-clean descriptor ablation,"folds=0,1,2,3,4",,0.2857103187795483,0.1864631460895331,0.0201762916978738,,-0.002844980995820534,completed,Completed rows are comparative representation evidence; the running row is reported without a result.,Do not select the best representation until all scheduled folds are complete.,strict-clean descriptor-ablation summary
ME037,descriptor_ablation,pi_core_only,six-task macro average,Sparse PI-core descriptors only.,five-fold strict-clean descriptor ablation,"folds=0,1,2,3,4",,0.2890073689422489,0.1887917908343841,0.0249366627491055,,0.0004520691668800647,completed,Completed rows are comparative representation evidence; the running row is reported without a result.,Do not select the best representation until all scheduled folds are complete.,strict-clean descriptor-ablation summary
ME038,descriptor_ablation,pi_family_only,six-task macro average,Broadened PI-family descriptors only.,five-fold strict-clean descriptor ablation,"folds=0,1,2,3,4",,0.286693286311443,0.1877887866947785,0.0203159563781846,,-0.0018620134639258379,completed,Completed rows are comparative representation evidence; the running row is reported without a result.,Do not select the best representation until all scheduled folds are complete.,strict-clean descriptor-ablation summary
ME039,descriptor_ablation,dense_plus_pi_core,six-task macro average,Dense RDKit plus sparse PI-core descriptors.,five-fold strict-clean descriptor ablation,"folds=0,1,2,3,4",,0.2848258012141687,0.1860269681861924,0.019546932926771,,-0.0037294985612001397,completed,Completed rows are comparative representation evidence; the running row is reported without a result.,Do not select the best representation until all scheduled folds are complete.,strict-clean descriptor-ablation summary
ME040,descriptor_ablation,dense_plus_pi_family,six-task macro average,Dense RDKit plus broadened PI-family descriptors.,five-fold strict-clean descriptor ablation,"folds=0,1",,,,,,,pending_or_running,Completed rows are comparative representation evidence; the running row is reported without a result.,Do not select the best representation until all scheduled folds are complete.,strict-clean descriptor-ablation summary
